Episode  | Reward     | Latency  | Reliab   | Success  | Fairness
--------------------------------------------------------------------------------
TensorDict Keys: _TensorDictKeysView(['action', 'observation', 'done', 'terminated', 'truncated', ('next', 'observation'), ('next', 'reward'), ('next', 'done'), ('next', 'terminated'), ('next', 'truncated'), 'next', ('collector', 'traj_ids'), 'collector', 'action_log_prob', 'scale', 'loc'],
    include_nested=True,
    leaves_only=False)
1        | -3974.76   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
2        | -4159.48   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
3        | -4323.96   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
4        | -4327.25   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
5        | -4012.97   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
6        | -4357.99   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
7        | -4350.68   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
8        | -4247.22   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
9        | -4467.19   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
10       | -4708.83   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
11       | -4171.95   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
12       | -4320.47   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
13       | -4376.20   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
14       | -4318.27   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
15       | -4635.83   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
16       | -4930.66   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
17       | -4452.45   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
18       | -4258.69   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
19       | -4249.36   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
20       | -4529.54   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
21       | -4700.46   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
22       | -5125.16   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
23       | -4808.56   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
24       | -4789.31   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
25       | -4770.06   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
26       | -4953.68   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
27       | -4909.02   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
28       | -4730.44   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
29       | -5123.59   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
30       | -5038.89   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
31       | -4772.30   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
32       | -4899.68   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
33       | -5467.62   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
34       | -5117.18   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
35       | -4862.15   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
36       | -5366.13   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
37       | -5037.22   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
38       | -5352.85   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
39       | -5221.85   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
40       | -5057.56   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
41       | -5090.83   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
42       | -5717.55   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
43       | -4944.09   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
44       | -5145.39   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
45       | -5324.32   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
46       | -4942.87   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
47       | -5411.03   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
48       | -5200.47   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
49       | -5792.27   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
50       | -5393.01   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
51       | -5794.75   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
52       | -5885.41   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
53       | -4998.23   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
54       | -5661.00   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
55       | -6078.44   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
56       | -5989.97   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
57       | -5762.43   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
58       | -5794.34   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
59       | -5717.21   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
60       | -6127.47   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
61       | -5163.19   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
62       | -5637.47   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
63       | -5901.19   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
64       | -5342.04   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
65       | -6220.19   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
66       | -6218.65   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
67       | -6299.74   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
68       | -6190.97   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
69       | -5974.67   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
70       | -6140.08   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
71       | -6175.52   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
72       | -5960.62   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
73       | -5979.75   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
74       | -6604.39   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
75       | -6325.56   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
76       | -6175.32   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
77       | -6606.38   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
78       | -6648.92   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
79       | -6171.44   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
80       | -6592.09   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
81       | -6649.49   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
82       | -6484.58   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
83       | -6320.96   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
84       | -6885.56   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
85       | -6741.19   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
86       | -6273.56   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
87       | -6501.56   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
88       | -6529.34   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
89       | -6698.04   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
90       | -6476.73   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
91       | -5945.50   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
92       | -6708.33   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
93       | -6851.91   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
94       | -6967.16   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
95       | -6689.33   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
96       | -6092.94   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
97       | -6368.79   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
98       | -6094.45   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
99       | -6475.75   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
100      | -6483.90   | 0.0000   | 0.0000   | 0.0000   | 0.0000  
Training Complete.
Saved training_results_grid.png
