Episode  | Reward     | Latency  | Reliab   | Success  | Fairness | L_Fair   | L_Rel    | L_Delay 
----------------------------------------------------------------------------------------------------
1        | 528.59     | 0.3263   | 1.0000   | 0.9527   | 0.7732   | 0.0010   | 0.0000   | 0.0007  
2        | 516.95     | 0.3373   | 1.0000   | 0.9440   | 0.7957   | 0.0011   | 0.0000   | 0.0009  
3        | 534.59     | 0.3182   | 1.0000   | 0.9600   | 0.7899   | 0.0009   | 0.0000   | 0.0006  
4        | 513.77     | 0.3433   | 1.0000   | 0.9420   | 0.8033   | 0.0009   | 0.0000   | 0.0009  
5        | 510.65     | 0.3378   | 1.0000   | 0.9373   | 0.7775   | 0.0013   | 0.0000   | 0.0010  
6        | 512.70     | 0.3367   | 1.0000   | 0.9413   | 0.8104   | 0.0007   | 0.0000   | 0.0009  
7        | 521.27     | 0.3357   | 1.0000   | 0.9560   | 0.8053   | 0.0011   | 0.0000   | 0.0007  
8        | 507.34     | 0.3488   | 1.0000   | 0.9353   | 0.7839   | 0.0009   | 0.0000   | 0.0010  
9        | 510.90     | 0.3444   | 1.0000   | 0.9373   | 0.7966   | 0.0008   | 0.0000   | 0.0009  
10       | 505.71     | 0.3518   | 1.0000   | 0.9327   | 0.8088   | 0.0009   | 0.0000   | 0.0010  
11       | 532.17     | 0.3171   | 1.0000   | 0.9507   | 0.8087   | 0.0007   | 0.0000   | 0.0007  
12       | 519.27     | 0.3304   | 1.0000   | 0.9427   | 0.7882   | 0.0011   | 0.0000   | 0.0008  
13       | 532.26     | 0.3152   | 1.0000   | 0.9520   | 0.8174   | 0.0006   | 0.0000   | 0.0008  
14       | 521.44     | 0.3292   | 1.0000   | 0.9453   | 0.8037   | 0.0008   | 0.0000   | 0.0008  
15       | 540.72     | 0.3069   | 1.0000   | 0.9613   | 0.8282   | 0.0007   | 0.0000   | 0.0006  
16       | 507.80     | 0.3531   | 1.0000   | 0.9427   | 0.7629   | 0.0013   | 0.0000   | 0.0009  
17       | 507.20     | 0.3533   | 1.0000   | 0.9447   | 0.7580   | 0.0015   | 0.0000   | 0.0009  
18       | 495.52     | 0.3647   | 1.0000   | 0.9273   | 0.7451   | 0.0015   | 0.0000   | 0.0011  
19       | 506.92     | 0.3556   | 1.0000   | 0.9460   | 0.7751   | 0.0012   | 0.0000   | 0.0009  
20       | 509.51     | 0.3478   | 1.0000   | 0.9427   | 0.7866   | 0.0010   | 0.0000   | 0.0009  
21       | 497.33     | 0.3610   | 1.0000   | 0.9433   | 0.7631   | 0.0011   | 0.0000   | 0.0008  
22       | 499.87     | 0.3622   | 1.0000   | 0.9413   | 0.7335   | 0.0017   | 0.0000   | 0.0009  
23       | 502.46     | 0.3617   | 1.0000   | 0.9413   | 0.7736   | 0.0009   | 0.0000   | 0.0010  
24       | 507.44     | 0.3506   | 1.0000   | 0.9407   | 0.7775   | 0.0012   | 0.0000   | 0.0009  
25       | 487.88     | 0.3691   | 1.0000   | 0.9287   | 0.7402   | 0.0015   | 0.0000   | 0.0010  
26       | 493.95     | 0.3678   | 1.0000   | 0.9273   | 0.7589   | 0.0014   | 0.0000   | 0.0011  
27       | 499.94     | 0.3612   | 1.0000   | 0.9340   | 0.7506   | 0.0013   | 0.0000   | 0.0010  
28       | 491.40     | 0.3699   | 1.0000   | 0.9333   | 0.7581   | 0.0011   | 0.0000   | 0.0010  
29       | 503.15     | 0.3535   | 1.0000   | 0.9440   | 0.7770   | 0.0011   | 0.0000   | 0.0009  
30       | 506.56     | 0.3520   | 1.0000   | 0.9433   | 0.7853   | 0.0011   | 0.0000   | 0.0009  
31       | 508.64     | 0.3472   | 1.0000   | 0.9500   | 0.7676   | 0.0011   | 0.0000   | 0.0008  
32       | 495.12     | 0.3624   | 1.0000   | 0.9347   | 0.7544   | 0.0012   | 0.0000   | 0.0009  
33       | 481.04     | 0.3875   | 1.0000   | 0.9240   | 0.7141   | 0.0020   | 0.0000   | 0.0011  
34       | 468.73     | 0.3967   | 1.0000   | 0.9193   | 0.6789   | 0.0023   | 0.0000   | 0.0012  
35       | 490.46     | 0.3756   | 1.0000   | 0.9453   | 0.7237   | 0.0015   | 0.0000   | 0.0007  
36       | 503.42     | 0.3528   | 1.0000   | 0.9393   | 0.7649   | 0.0012   | 0.0000   | 0.0009  
37       | 495.16     | 0.3697   | 1.0000   | 0.9367   | 0.7245   | 0.0017   | 0.0000   | 0.0010  
38       | 491.29     | 0.3665   | 1.0000   | 0.9353   | 0.7521   | 0.0013   | 0.0000   | 0.0009  
39       | 493.32     | 0.3685   | 1.0000   | 0.9353   | 0.7444   | 0.0015   | 0.0000   | 0.0009  
40       | 505.69     | 0.3628   | 1.0000   | 0.9433   | 0.7696   | 0.0011   | 0.0000   | 0.0009  
41       | 494.23     | 0.3620   | 1.0000   | 0.9333   | 0.7595   | 0.0013   | 0.0000   | 0.0011  
42       | 497.14     | 0.3547   | 1.0000   | 0.9380   | 0.7656   | 0.0013   | 0.0000   | 0.0009  
43       | 506.17     | 0.3480   | 1.0000   | 0.9393   | 0.7729   | 0.0010   | 0.0000   | 0.0009  
44       | 504.10     | 0.3552   | 1.0000   | 0.9427   | 0.7372   | 0.0015   | 0.0000   | 0.0008  
45       | 509.37     | 0.3628   | 1.0000   | 0.9533   | 0.7678   | 0.0011   | 0.0000   | 0.0007  
46       | 501.78     | 0.3534   | 1.0000   | 0.9360   | 0.7686   | 0.0012   | 0.0000   | 0.0010  
