Episode  | Reward     | Latency  | Reliab   | Success  | Fairness | L_Fair   | L_Rel    | L_Delay 
----------------------------------------------------------------------------------------------------
1        | 726.44     | 0.2982   | 1.0000   | 0.9547   | 0.8647   | 0.1000   | 0.1000   | 0.1000  
2        | 727.93     | 0.2956   | 1.0000   | 0.9547   | 0.8595   | 0.1000   | 0.1000   | 0.1000  
3        | 733.30     | 0.2927   | 1.0000   | 0.9613   | 0.8665   | 0.1000   | 0.1000   | 0.1001  
4        | 725.46     | 0.3006   | 1.0000   | 0.9580   | 0.8778   | 0.1000   | 0.1000   | 0.1001  
5        | 723.54     | 0.3038   | 1.0000   | 0.9527   | 0.8623   | 0.1000   | 0.1000   | 0.1001  
6        | 728.24     | 0.2956   | 1.0000   | 0.9567   | 0.8790   | 0.1000   | 0.1000   | 0.1001  
7        | 718.10     | 0.3105   | 1.0000   | 0.9480   | 0.8684   | 0.1000   | 0.1000   | 0.1001  
8        | 729.74     | 0.3005   | 1.0000   | 0.9627   | 0.8620   | 0.1000   | 0.1000   | 0.1002  
9        | 731.10     | 0.2972   | 1.0000   | 0.9587   | 0.8678   | 0.1000   | 0.1000   | 0.1002  
10       | 727.65     | 0.3039   | 1.0000   | 0.9573   | 0.8648   | 0.1000   | 0.1000   | 0.1002  
11       | 731.92     | 0.2891   | 1.0000   | 0.9600   | 0.8628   | 0.1001   | 0.1000   | 0.1002  
12       | 723.99     | 0.3027   | 1.0000   | 0.9540   | 0.8740   | 0.1001   | 0.1000   | 0.1002  
13       | 729.17     | 0.2971   | 1.0000   | 0.9607   | 0.8561   | 0.1001   | 0.1000   | 0.1003  
14       | 728.25     | 0.2999   | 1.0000   | 0.9540   | 0.8614   | 0.1001   | 0.1000   | 0.1003  
15       | 724.95     | 0.3058   | 1.0000   | 0.9507   | 0.8681   | 0.1001   | 0.1000   | 0.1003  
16       | 731.85     | 0.2939   | 1.0000   | 0.9627   | 0.8503   | 0.1001   | 0.1000   | 0.1003  
17       | 731.16     | 0.3009   | 1.0000   | 0.9627   | 0.8484   | 0.1001   | 0.1000   | 0.1004  
18       | 727.34     | 0.2998   | 1.0000   | 0.9573   | 0.8665   | 0.1001   | 0.1000   | 0.1004  
19       | 732.49     | 0.3020   | 1.0000   | 0.9627   | 0.8708   | 0.1001   | 0.1000   | 0.1004  
20       | 738.36     | 0.2748   | 1.0000   | 0.9567   | 0.8633   | 0.1001   | 0.1000   | 0.1004  
21       | 742.65     | 0.2752   | 1.0000   | 0.9680   | 0.8749   | 0.1001   | 0.1000   | 0.1004  
22       | 721.30     | 0.3107   | 1.0000   | 0.9547   | 0.8865   | 0.1001   | 0.1000   | 0.1005  
23       | 741.96     | 0.2811   | 1.0000   | 0.9653   | 0.8630   | 0.1001   | 0.1000   | 0.1005  
24       | 713.72     | 0.3270   | 1.0000   | 0.9500   | 0.8596   | 0.1001   | 0.1000   | 0.1005  
25       | 722.02     | 0.3086   | 1.0000   | 0.9553   | 0.8655   | 0.1001   | 0.1000   | 0.1005  
26       | 717.65     | 0.3039   | 1.0000   | 0.9487   | 0.8385   | 0.1001   | 0.1000   | 0.1005  
27       | 717.00     | 0.3107   | 1.0000   | 0.9447   | 0.8710   | 0.1001   | 0.1000   | 0.1006  
28       | 717.78     | 0.3218   | 1.0000   | 0.9553   | 0.8514   | 0.1002   | 0.1000   | 0.1006  
29       | 723.02     | 0.3067   | 1.0000   | 0.9553   | 0.8558   | 0.1002   | 0.1000   | 0.1006  
30       | 722.67     | 0.3003   | 1.0000   | 0.9473   | 0.8718   | 0.1002   | 0.1000   | 0.1006  
31       | 721.44     | 0.3093   | 1.0000   | 0.9600   | 0.8524   | 0.1002   | 0.1000   | 0.1007  
32       | 726.01     | 0.3010   | 1.0000   | 0.9607   | 0.8390   | 0.1002   | 0.1000   | 0.1007  
33       | 722.74     | 0.3089   | 1.0000   | 0.9553   | 0.8398   | 0.1002   | 0.1000   | 0.1007  
34       | 714.44     | 0.3142   | 1.0000   | 0.9493   | 0.8467   | 0.1002   | 0.1000   | 0.1007  
35       | 715.74     | 0.3171   | 1.0000   | 0.9507   | 0.8513   | 0.1002   | 0.1000   | 0.1008  
36       | 710.91     | 0.3113   | 1.0000   | 0.9467   | 0.7839   | 0.1002   | 0.1000   | 0.1008  
37       | 720.29     | 0.3074   | 1.0000   | 0.9520   | 0.8116   | 0.1002   | 0.1000   | 0.1008  
38       | 724.31     | 0.3041   | 1.0000   | 0.9547   | 0.8354   | 0.1003   | 0.1000   | 0.1008  
39       | 709.35     | 0.3270   | 1.0000   | 0.9413   | 0.8407   | 0.1003   | 0.1000   | 0.1009  
40       | 714.29     | 0.3205   | 1.0000   | 0.9513   | 0.7703   | 0.1003   | 0.1000   | 0.1009  
41       | 721.74     | 0.3125   | 1.0000   | 0.9587   | 0.7809   | 0.1003   | 0.1000   | 0.1009  
42       | 721.19     | 0.2932   | 1.0000   | 0.9487   | 0.8050   | 0.1003   | 0.1000   | 0.1009  
43       | 733.00     | 0.2904   | 1.0000   | 0.9553   | 0.8352   | 0.1003   | 0.1000   | 0.1010  
44       | 736.77     | 0.2794   | 1.0000   | 0.9573   | 0.8183   | 0.1004   | 0.1000   | 0.1010  
45       | 732.39     | 0.2965   | 1.0000   | 0.9633   | 0.7976   | 0.1004   | 0.1000   | 0.1010  
46       | 738.94     | 0.2718   | 1.0000   | 0.9587   | 0.8051   | 0.1004   | 0.1000   | 0.1010  
47       | 736.42     | 0.2844   | 1.0000   | 0.9640   | 0.7628   | 0.1004   | 0.1000   | 0.1010  
48       | 733.44     | 0.2790   | 1.0000   | 0.9533   | 0.8053   | 0.1004   | 0.1000   | 0.1011  
49       | 734.64     | 0.2868   | 1.0000   | 0.9620   | 0.7843   | 0.1004   | 0.1000   | 0.1011  
50       | 737.13     | 0.2796   | 1.0000   | 0.9620   | 0.7869   | 0.1005   | 0.1000   | 0.1011  
51       | 745.31     | 0.2729   | 1.0000   | 0.9687   | 0.8008   | 0.1005   | 0.1000   | 0.1011  
52       | 746.55     | 0.2800   | 1.0000   | 0.9720   | 0.7731   | 0.1005   | 0.1000   | 0.1011  
53       | 733.79     | 0.2867   | 1.0000   | 0.9607   | 0.7922   | 0.1005   | 0.1000   | 0.1011  
54       | 712.58     | 0.3196   | 1.0000   | 0.9493   | 0.7955   | 0.1005   | 0.1000   | 0.1012  
55       | 728.98     | 0.2914   | 1.0000   | 0.9553   | 0.8360   | 0.1006   | 0.1000   | 0.1012  
56       | 738.85     | 0.2759   | 1.0000   | 0.9587   | 0.8006   | 0.1006   | 0.1000   | 0.1012  
57       | 716.50     | 0.3195   | 1.0000   | 0.9533   | 0.7922   | 0.1006   | 0.1000   | 0.1012  
58       | 708.99     | 0.3262   | 1.0000   | 0.9480   | 0.8024   | 0.1006   | 0.1000   | 0.1013  
59       | 722.25     | 0.3053   | 1.0000   | 0.9487   | 0.8187   | 0.1006   | 0.1000   | 0.1013  
60       | 734.78     | 0.2808   | 1.0000   | 0.9620   | 0.8077   | 0.1006   | 0.1000   | 0.1013  
61       | 730.02     | 0.2971   | 1.0000   | 0.9627   | 0.8012   | 0.1007   | 0.1000   | 0.1013  
62       | 738.05     | 0.2831   | 1.0000   | 0.9600   | 0.8234   | 0.1007   | 0.1000   | 0.1013  
63       | 725.54     | 0.2929   | 1.0000   | 0.9533   | 0.8013   | 0.1007   | 0.1000   | 0.1014  
64       | 736.93     | 0.2860   | 1.0000   | 0.9680   | 0.8213   | 0.1007   | 0.1000   | 0.1014  
