Episode  | Reward     | Latency  | Reliab   | Success  | Fairness | L_Fair   | L_Rel    | L_Delay 
----------------------------------------------------------------------------------------------------
1        | 575.02     | 0.2501   | 1.0000   | 0.9647   | 0.8492   | 0.0003   | 0.0000   | 0.0004  
2        | 585.05     | 0.2313   | 1.0000   | 0.9667   | 0.8515   | 0.0003   | 0.0000   | 0.0003  
3        | 577.20     | 0.2465   | 1.0000   | 0.9587   | 0.8438   | 0.0003   | 0.0000   | 0.0005  
4        | 575.22     | 0.2546   | 1.0000   | 0.9580   | 0.8415   | 0.0003   | 0.0000   | 0.0004  
5        | 575.46     | 0.2483   | 1.0000   | 0.9547   | 0.8409   | 0.0002   | 0.0000   | 0.0005  
6        | 579.38     | 0.2443   | 1.0000   | 0.9660   | 0.8357   | 0.0004   | 0.0000   | 0.0003  
7        | 571.82     | 0.2519   | 1.0000   | 0.9553   | 0.8524   | 0.0002   | 0.0000   | 0.0004  
8        | 577.06     | 0.2490   | 1.0000   | 0.9660   | 0.8513   | 0.0002   | 0.0000   | 0.0004  
9        | 584.83     | 0.2421   | 1.0000   | 0.9700   | 0.8303   | 0.0003   | 0.0000   | 0.0003  
10       | 576.52     | 0.2498   | 1.0000   | 0.9620   | 0.8398   | 0.0003   | 0.0000   | 0.0004  
11       | 580.05     | 0.2468   | 1.0000   | 0.9647   | 0.8368   | 0.0003   | 0.0000   | 0.0004  
12       | 560.03     | 0.2737   | 1.0000   | 0.9520   | 0.8285   | 0.0004   | 0.0000   | 0.0005  
13       | 569.11     | 0.2658   | 1.0000   | 0.9593   | 0.8524   | 0.0003   | 0.0000   | 0.0004  
14       | 570.12     | 0.2578   | 1.0000   | 0.9573   | 0.8530   | 0.0003   | 0.0000   | 0.0005  
15       | 566.17     | 0.2539   | 1.0000   | 0.9473   | 0.8239   | 0.0004   | 0.0000   | 0.0005  
16       | 575.20     | 0.2569   | 1.0000   | 0.9627   | 0.8370   | 0.0004   | 0.0000   | 0.0004  
17       | 573.67     | 0.2571   | 1.0000   | 0.9687   | 0.8395   | 0.0003   | 0.0000   | 0.0004  
18       | 571.54     | 0.2565   | 1.0000   | 0.9673   | 0.8479   | 0.0002   | 0.0000   | 0.0003  
19       | 565.56     | 0.2624   | 1.0000   | 0.9560   | 0.8682   | 0.0002   | 0.0000   | 0.0005  
20       | 562.29     | 0.2669   | 1.0000   | 0.9593   | 0.8466   | 0.0003   | 0.0000   | 0.0004  
21       | 579.55     | 0.2595   | 1.0000   | 0.9753   | 0.8281   | 0.0004   | 0.0000   | 0.0003  
22       | 573.28     | 0.2577   | 1.0000   | 0.9627   | 0.8291   | 0.0004   | 0.0000   | 0.0004  
23       | 594.74     | 0.2263   | 1.0000   | 0.9693   | 0.8524   | 0.0002   | 0.0000   | 0.0003  
24       | 583.66     | 0.2354   | 1.0000   | 0.9593   | 0.8375   | 0.0004   | 0.0000   | 0.0004  
25       | 580.75     | 0.2434   | 1.0000   | 0.9620   | 0.8372   | 0.0003   | 0.0000   | 0.0004  
26       | 567.60     | 0.2674   | 1.0000   | 0.9580   | 0.8415   | 0.0002   | 0.0000   | 0.0004  
27       | 576.36     | 0.2500   | 1.0000   | 0.9587   | 0.8179   | 0.0005   | 0.0000   | 0.0004  
